feature_id,canonical_value,headline_value,transformation,count
BRANCH-DIFF,2.15,1.91,2.15→1.91,1
BRANCH-DIFF,2.17,1.75,2.17→1.75,1
BRANCH-DIFF,1.94,1.90,1.94→1.90,1
BRANCH-DIFF,2.30,1.91,2.30→1.91,1
BRANCH-DIFF,2.22,1.86,2.22→1.86,1
BRANCH-DIFF,1.84,1.93,1.84→1.93,1
BRANCH-DIFF,2.55,2.25,2.55→2.25,1
BRANCH-DIFF,2.13,1.83,2.13→1.83,1
BRANCH-DIFF,2.19,2.08,2.19→2.08,1
BRANCH-DIFF,2.36,1.91,2.36→1.91,1
BRANCH-DIFF,1.92,1.77,1.92→1.77,1
BRANCH-DIFF,1.85,1.75,1.85→1.75,1
BRANCH-DIFF,2.10,1.88,2.10→1.88,1
BRANCH-DIFF,2.18,2.10,2.18→2.10,1
BRANCH-DIFF,1.88,1.87,1.88→1.87,1
BRANCH-DIFF,2.78,2.33,2.78→2.33,1
BRANCH-DIFF,2.09,1.83,2.09→1.83,1
BRANCH-DIFF,1.92,1.70,1.92→1.70,1
BRANCH-DIFF,2.14,1.82,2.14→1.82,1
BRANCH-DIFF,2.46,2.10,2.46→2.10,1
BRANCH-DIFF,1.92,1.82,1.92→1.82,1
BRANCH-DIFF,1.92,1.89,1.92→1.89,1
BRANCH-DIFF,2.09,2.10,2.09→2.10,1
BRANCH-DIFF,2.11,1.81,2.11→1.81,1
BRANCH-DIFF,2.07,1.92,2.07→1.92,1
BRANCH-DIFF,2.25,1.86,2.25→1.86,1
BRANCH-DIFF,1.96,1.89,1.96→1.89,1
BRANCH-DIFF,1.86,1.91,1.86→1.91,1
BRANCH-DIFF,1.90,1.71,1.90→1.71,1
BRANCH-DIFF,2.08,2.10,2.08→2.10,1
BRANCH-DIFF,1.79,1.71,1.79→1.71,1
BRANCH-DIFF,1.95,1.77,1.95→1.77,1
BRANCH-DIFF,2.15,1.75,2.15→1.75,1
BRANCH-DIFF,2.75,1.91,2.75→1.91,1
BRANCH-DIFF,2.21,1.93,2.21→1.93,1
BRANCH-DIFF,1.89,1.87,1.89→1.87,1
BRANCH-DIFF,2.15,2.12,2.15→2.12,1
BRANCH-DIFF,1.94,1.62,1.94→1.62,1
BRANCH-DIFF,2.50,2.17,2.50→2.17,1
BRANCH-DIFF,2.55,2.10,2.55→2.10,1
BRANCH-DIFF,2.20,2.20,2.20→2.20,1
BRANCH-DIFF,2.08,2.25,2.08→2.25,1
BRANCH-DIFF,2.20,1.82,2.20→1.82,1
BRANCH-DIFF,1.83,1.80,1.83→1.80,1
BRANCH-DIFF,2.27,1.92,2.27→1.92,1
BRANCH-DIFF,2.33,2.10,2.33→2.10,1
BRANCH-DIFF,2.16,2.00,2.16→2.00,1
BRANCH-DIFF,2.50,1.90,2.50→1.90,1
BRANCH-DIFF,2.07,2.20,2.07→2.20,1
BRANCH-DIFF,2.00,1.94,2.00→1.94,1
BRANCH-DIFF,1.91,1.94,1.91→1.94,1
BRANCH-DIFF,1.92,1.88,1.92→1.88,1
BRANCH-DIFF,2.06,2.14,2.06→2.14,1
BRANCH-DIFF,2.17,1.83,2.17→1.83,1
BRANCH-DIFF,1.87,1.91,1.87→1.91,1
