feature_id,rank,transformation,count,pattern_type
2.33,0,2.33→2.12,4,changes
2.33,0,2.33→2.22,4,changes
2.33,0,2.33→2.25,3,changes
2.33,0,2.33→2.09,3,changes
2.33,0,2.33→2.50,3,changes
2.33,0,2.33→2.17,2,changes
2.33,0,2.33→1.92,2,changes
2.33,0,2.33→1.83,2,changes
2.33,0,2.33→1.90,2,changes
2.33,0,2.33→1.50,1,changes
2.33,0,2.33→1.44,1,changes
2.33,0,2.33→1.86,1,changes
2.33,0,2.33→1.78,1,changes
2.33,0,2.33→1.62,1,changes
2.33,0,2.33→1.91,1,changes
2.33,0,2.33→2.10,1,changes
2.33,0,2.33→1.89,1,changes
2.33,0,2.33→2.14,1,changes
2.33,0,2.33→1.77,1,changes
2.33,0,2.33→2.18,1,changes
2.33,0,2.33→2.20,1,changes
2.33,0,2.33→2.11,1,changes
2.33,0,2.33→2.38,1,changes
2.35,0,2.35→1.62,1,changes
2.36,0,2.36→2.00,5,changes
2.36,0,2.36→2.10,4,changes
2.36,0,2.36→2.20,4,changes
2.36,0,2.36→1.78,2,changes
2.36,0,2.36→2.22,2,changes
2.36,0,2.36→2.08,2,changes
2.36,0,2.36→1.90,1,changes
2.36,0,2.36→1.67,1,changes
2.36,0,2.36→1.82,1,changes
2.36,0,2.36→1.71,1,changes
2.36,0,2.36→1.44,1,changes
2.36,0,2.36→1.50,1,changes
2.36,0,2.36→2.23,1,changes
2.36,0,2.36→1.91,1,changes
2.36,0,2.36→1.86,1,changes
2.36,0,2.36→2.38,1,changes
2.36,0,2.36→1.92,1,changes
2.37,0,2.37→2.29,1,changes
2.38,0,2.38→2.33,3,changes
2.38,0,2.38→1.67,2,changes
2.38,0,2.38→1.56,1,changes
2.38,0,2.38→2.44,1,changes
2.38,0,2.38→1.71,1,changes
2.38,0,2.38→2.09,1,changes
2.38,0,2.38→1.92,1,changes
2.38,0,2.38→2.11,1,changes
2.38,0,2.38→2.00,1,changes
2.38,0,2.38→1.80,1,changes
2.38,0,2.38→2.90,1,changes
2.38,0,2.38→1.50,1,changes
2.38,0,2.38→1.91,1,changes
2.38,0,2.38→2.18,1,changes
2.38,0,2.38→2.12,1,changes
2.38,0,2.38→2.31,1,changes
2.38,0,2.38→2.14,1,changes
2.39,0,2.39→1.70,1,changes
2.40,0,2.40→1.88,2,changes
2.40,0,2.40→2.25,1,changes
2.40,0,2.40→2.18,1,changes
2.40,0,2.40→1.82,1,changes
2.40,0,2.40→2.00,1,changes
2.40,0,2.40→1.83,1,changes
