pair_unit,frequency
BRANCH-DIFF:1.90→2.20,1
CONST-COUNT-DIFF:25→22,4
DEP-DIST-DIFF:2.15→1.80,1
BRANCH-DIFF:2.18→1.91,2
TED-ZHANG-SHASHA:9→9,82
TED-KLEIN:9→9,43
TED-RTED:9→9,96
CONST-COUNT-DIFF:16→12,11
DEP-DIST-DIFF:2.00→2.50,5
BRANCH-DIFF:1.88→1.57,5
DEP-REL-CHG:nmod:poss→obj,12
DEP-REL-CHG:amod→punct,10
DEP-REL-CHG:obj→det,5
DEP-REL-CHG:punct→root,14
DEP-REL-CHG:nsubj→nmod:poss,5
HEAD-CHG:15→8,1
LENGTH-CHG:16→11,7
CONST-COUNT-DIFF:29→22,2
DEP-DIST-DIFF:2.73→2.00,3
BRANCH-DIFF:2.15→1.91,1
DEP-REL-CHG:flat→obl,2
DEP-REL-CHG:punct→flat,3
DEP-REL-CHG:nmod:poss→compound,3
DEP-REL-CHG:punct→obj,21
TOKEN-REORDER:POST→POST,4
TREE-DEPTH-DIFF:7→8,13
CONST-COUNT-DIFF:22→25,1
DEP-DIST-DIFF:2.27→2.18,1
BRANCH-DIFF:2.10→1.85,1
DEP-REL-CHG:punct→nmod,7
DEP-REL-CHG:appos→compound,2
DEP-REL-CHG:punct→parataxis,6
TED-KLEIN:22→22,13
DEP-DIST-DIFF:2.56→2.17,2
BRANCH-DIFF:1.90→1.86,3
DEP-REL-CHG:nsubj:pass→advmod,2
DEP-REL-CHG:aux→advcl,3
DEP-REL-CHG:aux:pass→det,2
LENGTH-CHG:16→10,5
TED-KLEIN:31→31,2
PUNCT-DEL:hyphen→,9
CONST-COUNT-DIFF:29→21,4
DEP-DIST-DIFF:2.27→2.11,1
BRANCH-DIFF:2.15→1.82,1
TED-RTED:7→7,54
DEP-DIST-DIFF:2.64→1.88,1
DEP-DIST-DIFF:2.25→1.75,3
DEP-REL-CHG:nummod→mark,1
DEP-REL-CHG:obj→advcl,8
DEP-DIST-DIFF:2.69→2.00,2
BRANCH-DIFF:2.18→1.90,1
HEAD-CHG:8→7,11
DEP-DIST-DIFF:2.62→2.00,2
BRANCH-DIFF:2.00→1.75,17
DEP-REL-CHG:amod→flat,4
DEP-REL-CHG:nmod:poss→case,18
DEP-REL-CHG:obj→mark,6
DEP-REL-CHG:advcl→compound,6
TREE-DEPTH-DIFF:10→9,15
DEP-DIST-DIFF:2.73→2.33,2
BRANCH-DIFF:1.92→1.82,1
DEP-DIST-DIFF:2.78→1.83,2
BRANCH-DIFF:2.12→1.75,4
DEP-REL-CHG:nummod→root,6
CONST-COUNT-DIFF:17→11,3
DEP-DIST-DIFF:2.12→1.75,6
LENGTH-CHG:12→7,16
DEP-DIST-DIFF:2.36→1.67,2
BRANCH-DIFF:2.12→1.80,4
DEP-REL-CHG:cop→amod,4
DEP-DIST-DIFF:1.67→1.25,5
DEP-REL-CHG:flat→obj,1
CONST-COUNT-DIFF:24→18,9
DEP-DIST-DIFF:3.31→2.11,1
BRANCH-DIFF:2.30→2.12,4
DEP-REL-CHG:punct→dep,2
DEP-REL-CHG:nummod→compound,8
DEP-REL-CHG:aux:pass→compound,23
DEP-DIST-DIFF:2.62→1.88,1
BRANCH-DIFF:2.44→2.14,1
TED-SIMPLE:6→6,42
TED-KLEIN:7→7,55
CONST-COUNT-DIFF:13→10,8
DEP-DIST-DIFF:2.50→1.50,1
LENGTH-CHG:10→4,1
